"Tỉnh, thành phố";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"Sơ bộ 2019"
"Quảng Trị";121.0;141.0;150.8;120.7;175.3;191.3;184.8;203.9;202.8;214.3;200.0;213.5;213.5;218.3;213.0;213.0;224.7;240.6;224.1;258.7;239.4;263.1;243.4;275.5;273.3
"Thừa Thiên Huế";166.6;186.9;196.6;187.6;216.0;196.5;204.8;210.9;235.8;246.6;235.0;252.6;259.6;274.8;282.6;285.2;299.1;299.0;284.9;317.1;319.3;324.3;327.4;334.4;326.7
"Đà Nẵng";53.8;58.5;57.3;51.6;53.9;52.2;52.2;49.2;49.8;47.8;41.8;46.3;45.2;42.6;42.0;41.1;34.4;35.3;31.3;33.9;31.6;32.2;31.4;31.9;30.8
"Quảng Nam";308.4;335.4;331.6;332.0;344.7;329.9;330.4;343.8;381.1;384.0;366.9;385.1;395.1;380.6;394.4;412.7;417.9;447.3;440.3;466.9;461.2;441.7;461.1;462.6;451.9
"Quảng Ngãi";251.9;301.1;289.1;305.9;334.9;311.7;305.5;329.5;365.4;362.5;367.1;376.9;381.3;354.4;370.0;391.2;380.4;406.8;412.3;422.5;427.5;416.3;438.8;440.2;431.3
"Bình Định";402.3;439.2;447.5;437.7;504.7;523.0;546.5;517.1;557.9;570.3;527.3;607.8;579.1;619.0;604.3;633.2;649.3;651.8;606.8;649.7;657.8;638.9;666.4;666.5;648.2
"Phú Yên";256.6;273.4;281.9;268.7;289.2;277.6;280.6;294.5;318.2;324.3;315.5;314.2;322.0;294.6;326.8;346.8;344.2;346.0;363.8;365.0;378.1;376.2;374.4;392.2;373.7
"Khánh Hoà";142.0;159.2;172.5;168.6;176.3;187.2;191.9;176.9;205.8;201.9;140.3;204.1;193.8;215.2;228.2;231.0;241.2;246.5;258.0;261.3;199.8;227.1;254.7;261.1;259.0
"Ninh Thuận";125.2;123.9;137.7;131.0;160.3;145.7;135.2;138.3;137.9;157.6;79.9;171.1;173.2;200.3;213.6;188.0;223.2;236.8;247.1;267.7;224.5;211.8;276.6;243.3;263.9
"Bình Thuận";209.2;231.4;254.8;274.7;279.1;321.5;335.3;330.3;334.9;346.8;333.4;361.0;435.1;469.9;505.6;535.5;602.3;620.1;638.6;673.4;664.9;598.3;717.8;709.3;684.0
"Tây Nguyên";429.5;427.3;485.6;436.6;512.4;586.8;646.2;606.6;748.1;781.4;717.3;880.4;866.3;935.2;999.1;1042.1;1067.7;1138.8;1151.2;1245.0;1209.8;1174.0;1315.6;1379.8;1384.8
"Kon Tum";40.9;41.2;44.9;42.3;44.8;51.8;56.6;59.5;61.9;67.4;65.8;70.9;74.7;77.4;77.4;77.7;77.0;83.8;83.7;85.6;91.6;87.1;91.1;91.6;92.9
"Gia Lai";115.9;121.1;129.2;126.9;148.5;175.1;200.2;196.8;226.8;222.0;233.7;281.2;279.2;292.8;288.2;310.1;293.3;332.6;330.5;350.1;333.1;318.9;354.9;362.1;373.2
